reference_month,release_date,trading_date,cpi_yoy,inflation_acceleration,btc_return_release_day,gold_return_release_day,cpi_yoy_quintile,inflation_acceleration_quintile
2022-07-01,2022-08-10,2022-08-10,0.0852481474562552,-0.005349432191586345,0.0250642929151752,-0.002515111058863262,5.0,1.0
2022-08-01,2022-09-13,2022-09-13,0.08262692503116242,-0.002621222425092773,-0.10044505106255563,-0.013096728906648814,5.0,2.0
2022-09-01,2022-10-13,2022-10-13,0.0820166964383362,-0.000610228592826223,0.012083592137061672,-0.0069476110871145025,5.0,2.0
2022-10-01,2022-11-10,2022-11-10,0.07745427330804922,-0.0045624231302869855,0.10885573878685051,0.029990153003992326,5.0,1.0
2022-11-01,2022-12-13,2022-12-13,0.07110322794191726,-0.006351045366131958,0.03583498654267814,0.016936889733695004,5.0,1.0
2022-12-01,2023-01-12,2023-01-12,0.0645440133141082,-0.006559214627809062,0.0819255539264816,0.011501603213231348,5.0,1.0
2023-01-01,2023-02-14,2023-02-14,0.06410146968856267,-0.00044254362554552173,0.0267310840485262,0.0007534549847427741,5.0,3.0
2023-02-01,2023-03-14,2023-03-14,0.06035613077866597,-0.0037453389098967005,0.03126985617559619,-0.005807897981361165,5.0,1.0
2023-03-01,2023-04-12,2023-04-12,0.04984974122099173,-0.010506389557674245,-0.011060939976525574,0.004873245294512607,4.0,1.0
2023-04-01,2023-05-10,2023-05-10,0.049303203981889254,-0.0005465372391024736,-0.0008680964994898233,-0.00142946404099753,4.0,3.0
2023-05-01,2023-06-13,2023-06-13,0.040476092727919744,-0.00882711125396951,0.00303903065412392,-0.0073948331208413265,4.0,1.0
2023-06-01,2023-07-12,2023-07-12,0.029691776545588855,-0.010784316182330889,-0.009677174781955955,0.013450555215707816,3.0,1.0
2023-07-01,2023-08-10,2023-08-10,0.03177780177942169,0.0020860252338328333,0.0009619317389688575,-0.0010691758408611918,4.0,4.0
2023-08-01,2023-09-13,2023-09-13,0.03665112384399549,0.004873322064573804,0.0028218813607541193,-0.0023126820451926378,4.0,5.0
2023-09-01,2023-10-12,2023-10-12,0.0369969812134443,0.00034585736944880985,-0.0018804667811043174,-0.003054310387323511,4.0,3.0
2023-10-01,2023-11-14,2023-11-14,0.03241144651893202,-0.004585534694512283,-0.041609045363834696,0.008879636186604145,4.0,1.0
2023-11-01,2023-12-12,2023-12-12,0.03137270708841777,-0.0010387394305142461,0.009053802226828722,-0.0005447904909061663,4.0,2.0
2023-12-01,2024-01-11,2024-01-11,0.033521228314302265,0.002148521225884492,0.002488067885156653,0.001971362878363081,4.0,4.0
2024-01-01,2024-02-13,2024-02-13,0.030908847812280538,-0.0026123805020217272,-0.015338826726978283,-0.013884637194948368,4.0,2.0
2024-02-01,2024-03-12,2024-03-12,0.031531711208615976,0.000622863396335438,-0.008652161751047771,-0.011000916093968804,4.0,3.0
2024-03-01,2024-04-10,2024-04-10,0.034773850700380304,0.0032421394917643287,0.01557671374364844,-0.009508923035404848,4.0,5.0
2024-04-01,2024-05-15,2024-05-15,0.03357363950119163,-0.0012002111991886721,0.06914391842067502,0.012757032448187822,4.0,2.0
2024-05-01,2024-06-12,2024-06-12,0.032690290569400204,-0.0008833489317914278,0.0018660158961409934,0.002658183908153866,4.0,2.0
2024-06-01,2024-07-11,2024-07-11,0.029713971072633072,-0.0029763194967671325,-0.0002444889152659613,0.017578001160185153,3.0,1.0
2024-07-01,2024-08-14,2024-08-14,0.028947531984913066,-0.0007664390877200056,-0.03223082786975162,-0.008189191333500823,3.0,2.0
2024-08-01,2024-09-11,2024-09-11,0.025307302964569622,-0.003640229020343444,-0.006344454357705587,-0.0015918222264339477,3.0,1.0
2024-09-01,2024-10-10,2024-10-10,0.02440633031069983,-0.0009009726538697915,-0.02160945291530325,0.007316064767088903,2.0,2.0
2024-10-01,2024-11-13,2024-11-13,0.02597904904914672,0.0015727187384468877,0.002455739973191484,-0.010132384997697308,3.0,4.0
2024-11-01,2024-12-11,2024-12-11,0.027493803960905616,0.0015147549117588976,0.04893910649588307,0.00948865236059504,3.0,4.0
2024-12-01,2025-01-15,2025-01-15,0.02888057219980067,0.001386768238895053,0.03121918032787896,0.007461090407550941,3.0,4.0
2025-01-01,2025-02-12,2025-02-12,0.030004831121501097,0.0011242589217004273,0.017902066154984908,0.0010466070727144228,3.0,3.0
2025-02-01,2025-03-12,2025-03-12,0.0282154895174751,-0.0017893416040259957,-0.0022656322983873878,0.004337373317600424,3.0,2.0
2025-03-01,2025-04-10,2025-04-10,0.023907252538964974,-0.004308236978510127,-0.03315180882117197,0.024130092886814225,2.0,1.0
2025-04-01,2025-05-13,2025-05-13,0.023112888616734883,-0.0007943639222300902,0.02838021378061839,0.004249948759953881,2.0,2.0
2025-05-01,2025-06-11,2025-06-11,0.02354896535474671,0.0004360767380118258,-0.007183196477861031,0.00539769697833048,2.0,3.0
2025-06-01,2025-07-15,2025-07-15,0.02669213018222316,0.0031431648274764523,-0.029816197790067278,-0.0041643640755140154,3.0,5.0
2025-07-01,2025-08-12,2025-08-12,0.027049023971513986,0.00035689378929082416,0.004824796587703517,-0.0009078785028293623,3.0,3.0
2025-08-01,2025-09-11,2025-09-11,0.029161742842984006,0.0021127188714700207,0.007416615438124552,-0.0014924929949513555,3.0,4.0
2025-09-01,2025-10-24,2025-10-24,0.030126767755256134,0.0009650249122721277,0.003759349124404565,-0.0033584660498817698,4.0,3.0
2025-11-01,2025-12-18,2025-12-18,0.027350844551226272,-0.002775923204029862,-0.015342554567006061,-0.0018048314286414069,3.0,1.0
2025-12-01,2026-01-13,2026-01-13,0.026770805278750087,-0.0005800392724761849,0.03145962650429723,-0.0014220515093619213,3.0,3.0
2026-01-01,2026-02-13,2026-02-13,0.02386431244904319,-0.002906492829706897,0.04991730734336386,0.02457422891441219,2.0,1.0
2026-02-01,2026-03-11,2026-03-11,0.024141129866304123,0.0002768174172609328,0.008503845242223917,-0.0033958635686852645,2.0,3.0
2026-03-01,2026-04-10,2026-04-10,0.032564204390883145,0.008423074524579022,0.015685463873067462,-0.001782773309261465,4.0,5.0
2026-04-01,2026-05-12,2026-05-12,0.0381084493212176,0.005544244930334452,-0.01384185190222631,-0.003965060284397914,4.0,5.0
2026-05-01,2026-06-10,2026-06-10,0.04248674039164446,0.004378291070426865,-0.0025095034523392457,-0.042339376208338386,4.0,5.0
2026-06-01,2026-07-14,2026-07-14,0.035314250637863864,-0.007172489753780598,0.03597107353388651,0.013580960339774073,4.0,1.0
2026-07-01,2026-08-12,2026-08-12,0.03364825041479902,-0.0016660002230648452,-0.001809903066675389,0.009827899495455483,4.0,2.0
