horizon,factor,factor_label,quantile,n,factor_min,factor_median,factor_max,btc_mean,btc_median,btc_vol,btc_p05,btc_es05,btc_positive_share,gold_mean,gold_median,gold_vol,gold_p05,gold_es05,gold_positive_share,mean_spread_btc_minus_gold
5,real_rate,Taux réel US 10 ans,2,494,-0.06999999999999999,-0.040000000000000036,-0.020000000000000018,0.016017258517606,0.006133826723125679,0.09267487189887333,-0.1308407908083032,-0.1841569422574341,0.5425101214574899,0.007038079955462793,0.006163595189714766,0.01917456880898832,-0.023153547664084194,-0.03342960736718428,0.6518218623481782,0.008979178562143206
5,real_rate,Taux réel US 10 ans,3,435,-0.020000000000000004,0.0,0.020000000000000018,0.019510058646408708,0.011434378867932082,0.0943289461819245,-0.11405505221088337,-0.17719099170316185,0.5839080459770115,0.0029184761776293406,0.0031883338247284954,0.02118413776060411,-0.02660773616552827,-0.0458901831400149,0.5609195402298851,0.016591582468779367
5,real_rate,Taux réel US 10 ans,4,418,0.029999999999999805,0.04999999999999999,0.07999999999999999,-0.003409198579829677,0.0049932037768485316,0.09307088535503467,-0.1649461046593533,-0.2532603475192223,0.5239234449760766,-0.0021705487726158415,-0.0019750199845463,0.01933249022826202,-0.03438030463709798,-0.04727370433251326,0.45454545454545453,-0.0012386498072138354
5,real_rate,Taux réel US 10 ans,5,450,0.08000000000000002,0.1299999999999999,0.6900000000000001,-0.013926230789257142,-0.008168764970904796,0.09625074823360145,-0.15912950924440822,-0.2908855672650553,0.4488888888888889,-0.01048253924471608,-0.009345392843906009,0.025695763350329904,-0.051696512291363204,-0.0757952052929671,0.3111111111111111,-0.003443691544541062
5,risk_aversion,Aversion au risque,1,450,-0.628653917506607,-0.17347444577146653,-0.10845170822749894,0.03190804642786495,0.02744638310939873,0.08738381023235146,-0.09842385181204971,-0.15956110083272287,0.6644444444444444,0.00363044435511306,0.0032447874561873924,0.023012193863393888,-0.031411392828042214,-0.047841449596919716,0.5755555555555556,0.028277602072751887
5,risk_aversion,Aversion au risque,2,450,-0.10835112203342812,-0.07072457189618575,-0.03990729059185494,0.01906800394902513,0.015183598790970088,0.08447891050192795,-0.10380369179120379,-0.15715759089103257,0.5911111111111111,0.0043319850479208435,0.004275991064886853,0.02009191213267796,-0.027978475767963796,-0.03824672820008169,0.58,0.014736018901104285
5,risk_aversion,Aversion au risque,3,450,-0.03969986984668461,-0.011732798001955258,0.015686596167699296,0.015095436629487011,0.011679574836683138,0.0819964215130602,-0.11442491952034146,-0.16703250902683225,0.58,0.0035672600602422457,0.003683531738330359,0.022697063004107353,-0.03221246887012094,-0.047886516242606786,0.5688888888888889,0.011528176569244765
5,risk_aversion,Aversion au risque,4,450,0.016117565021068536,0.05410146315496256,0.10361226346429708,0.0031587482409572783,-0.0008646448446416599,0.08695135963246717,-0.1265718003602979,-0.2012726746448104,0.4822222222222222,0.003423241395733996,0.0038822115872925167,0.02264108719810028,-0.03534021789466579,-0.044797020426092835,0.5822222222222222,-0.0002644931547767177
5,risk_aversion,Aversion au risque,5,450,0.1037647100074186,0.18413719935176176,0.9919664257896192,-0.03723185165069515,-0.03243139010624585,0.1108506545864693,-0.22110482379023516,-0.330458726782813,0.3333333333333333,-0.001361693258344607,4.3785750225566744e-07,0.026452512876283776,-0.04176733399416501,-0.07307377443997821,0.5,-0.03587015839235054
5,credit_baa,Spread de crédit Baa,1,473,-0.5500000000000003,-0.07999999999999985,-0.050000000000000044,0.016013954671753282,0.01253407932976458,0.08599762747204873,-0.09664397721029978,-0.19225656175352746,0.5813953488372093,-0.0007514013682489897,-0.0005519405304204028,0.025275217528275107,-0.04015607057316046,-0.059577540652470264,0.4799154334038055,0.01676535604000227
