horizon,condition,classification,episode_id,episode_start,episode_end,condition_days,anchor_date,anchor_position,window_start_date,window_end_date,condition_value_at_anchor,btc_return,gold_return,spread_btc_minus_gold
1,vix_change_top_10pct,market_observable,91,2021-09-10,2021-09-10,1,2021-09-10,1018,2021-09-10,2021-09-10,0.1082817765322428,-0.01989764289077911,-0.005071495164425954,-0.014826147726353156
1,vix_change_top_10pct,market_observable,92,2021-09-17,2021-09-20,2,2021-09-20,1024,2021-09-20,2021-09-20,0.2114463808722551,-0.07998443073113926,0.007118755657040232,-0.08710318638817949
1,vix_change_top_10pct,market_observable,93,2021-09-28,2021-09-28,1,2021-09-28,1030,2021-09-28,2021-09-28,0.21457818845528687,-0.03333152607898526,-0.009763940911599711,-0.023567585167385552
1,vix_change_top_10pct,market_observable,94,2021-11-26,2021-11-26,1,2021-11-26,1072,2021-11-26,2021-11-26,0.43202004074261247,-0.056929557413193166,-0.001616846252669113,-0.05531271116052405
1,vix_change_top_10pct,market_observable,95,2021-11-30,2021-12-01,2,2021-11-30,1074,2021-11-30,2021-11-30,0.1690956871930136,-0.010981218095551526,-0.006744546424564568,-0.004236671670986958
1,vix_change_top_10pct,market_observable,96,2021-12-03,2021-12-03,1,2021-12-03,1077,2021-12-03,2021-12-03,0.09286777852505201,-0.06472319562919715,0.008376819081740372,-0.07310001471093752
1,vix_change_top_10pct,market_observable,97,2022-01-05,2022-01-05,1,2022-01-05,1099,2022-01-05,2022-01-05,0.15423515712403502,-0.05094442655973985,-0.0030121970522101194,-0.04793222950752973
1,vix_change_top_10pct,market_observable,98,2022-01-13,2022-01-13,1,2022-01-13,1105,2022-01-13,2022-01-13,0.1420787550842597,-0.023622318386436802,-0.00340277134129785,-0.020219547045138953
1,vix_change_top_10pct,market_observable,99,2022-01-18,2022-01-18,1,2022-01-18,1107,2022-01-18,2022-01-18,0.1719325332379844,-0.031008101124500698,-0.001651618267930921,-0.029356482856569777
1,vix_change_top_10pct,market_observable,100,2022-01-21,2022-01-21,1,2022-01-21,1110,2022-01-21,2022-01-21,0.11990834278241103,-0.10798357494595301,-0.0032677719138094474,-0.10471580303214356
1,vix_change_top_10pct,market_observable,101,2022-02-03,2022-02-03,1,2022-02-03,1119,2022-02-03,2022-02-03,0.09740683209657286,-0.0324257921230906,-0.0014224174555623748,-0.031003374667528227
1,vix_change_top_10pct,market_observable,102,2022-02-10,2022-02-11,2,2022-02-10,1124,2022-02-10,2022-02-10,0.18056651058691564,-0.014916398978767731,-0.0038037857675305986,-0.011112613211237132
1,vix_change_top_10pct,market_observable,103,2022-02-17,2022-02-17,1,2022-02-17,1129,2022-02-17,2022-02-17,0.14606064190435974,-0.0757064450391507,0.01357550816897568,-0.08928195320812637
1,vix_change_top_10pct,market_observable,104,2022-02-28,2022-03-01,2,2022-03-01,1136,2022-03-01,2022-03-01,0.09997289412544763,0.05063254719407695,0.01800043176575361,0.03263211542832334
1,vix_change_top_10pct,market_observable,105,2022-03-07,2022-03-07,1,2022-03-07,1140,2022-03-07,2022-03-07,0.1308307510488591,-0.04878661712048782,0.014753495270293016,-0.06354011239078083
1,vix_change_top_10pct,market_observable,106,2022-04-05,2022-04-05,1,2022-04-05,1161,2022-04-05,2022-04-05,0.12440261434999389,0.00232105409369332,-0.006284549046099208,0.008605603139792528
1,vix_change_top_10pct,market_observable,107,2022-04-11,2022-04-11,1,2022-04-11,1165,2022-04-11,2022-04-11,0.14124026064701622,-0.06640802084599606,0.004947206140849758,-0.07135522698684582
1,vix_change_top_10pct,market_observable,108,2022-04-21,2022-04-22,2,2022-04-22,1173,2022-04-22,2022-04-22,0.21819304615435398,-0.04252035494694084,-0.00976966135240076,-0.03275069359454008
1,vix_change_top_10pct,market_observable,109,2022-04-26,2022-04-26,1,2022-04-26,1175,2022-04-26,2022-04-26,0.2155649430818296,-0.04984597219888798,0.0015238553873304639,-0.05136982758621844
1,vix_change_top_10pct,market_observable,110,2022-04-29,2022-04-29,1,2022-04-29,1178,2022-04-29,2022-04-29,0.10769190722173683,-0.04220030490129112,-0.00011298334784104469,-0.042087321553450074
1,vix_change_top_10pct,market_observable,111,2022-05-05,2022-05-05,1,2022-05-05,1182,2022-05-05,2022-05-05,0.20488182905412833,-0.09309530611622563,-0.0038184194446895248,-0.0892768866715361
1,vix_change_top_10pct,market_observable,112,2022-05-09,2022-05-09,1,2022-05-09,1184,2022-05-09,2022-05-09,0.14066882829205385,-0.15148627625671196,-0.014585347642546154,-0.1369009286141658
1,vix_change_top_10pct,market_observable,113,2022-05-18,2022-05-18,1,2022-05-18,1191,2022-05-18,2022-05-18,0.17076073439287853,-0.027641967316343496,0.0005313437048437564,-0.028173311021187253
1,vix_change_top_10pct,market_observable,114,2022-06-13,2022-06-13,1,2022-06-13,1208,2022-06-13,2022-06-13,0.20371274677527218,-0.221766568159957,-0.026767358824472787,-0.1949992093354842
1,vix_change_top_10pct,market_observable,115,2022-06-16,2022-06-16,1,2022-06-16,1211,2022-06-16,2022-06-16,0.10654145210886368,-0.035599822209373855,0.011180446816136502,-0.04678026902551036
1,vix_change_top_10pct,market_observable,116,2022-08-22,2022-08-22,1,2022-08-22,1256,2022-08-22,2022-08-22,0.14439450488189376,-0.012937264745433552,-0.006659303367833047,-0.006277961377600505
1,vix_change_top_10pct,market_observable,117,2022-08-26,2022-08-26,1,2022-08-26,1260,2022-08-26,2022-08-26,0.16003651200451952,-0.045652143206980966,-0.012227153201929575,-0.03342499000505139
1,vix_change_top_10pct,market_observable,118,2022-09-13,2022-09-13,1,2022-09-13,1271,2022-09-13,2022-09-13,0.1331647565067584,-0.10044505106255563,-0.013096728906648814,-0.08734832215590682
1,vix_change_top_10pct,market_observable,119,2022-09-23,2022-09-23,1,2022-09-23,1279,2022-09-23,2022-09-23,0.08981062423828634,-0.026334129255729977,-0.017427816406674346,-0.008906312849055631
1,vix_change_top_10pct,market_observable,120,2022-12-12,2022-12-12,1,2022-12-12,1334,2022-12-12,2022-12-12,0.0908003643264963,0.0013008082505372442,-0.00829484183350182,0.009595650084039065
1,vix_change_top_10pct,market_observable,121,2022-12-22,2022-12-22,1,2022-12-22,1342,2022-12-22,2022-12-22,0.09045172358827225,-7.270191918529179e-05,-0.01215898016893302,0.012086278249747728
1,vix_change_top_10pct,market_observable,122,2023-02-16,2023-02-16,1,2023-02-16,1379,2023-02-16,2023-02-16,0.10112776327554895,0.017193737072460635,-0.0008195726363133815,0.018013309708774017
1,vix_change_top_10pct,market_observable,123,2023-02-21,2023-02-21,1,2023-02-21,1381,2023-02-21,2023-02-21,0.13309423414761534,-0.014471525183790135,-0.0037440046605539123,-0.010727520523236223
1,vix_change_top_10pct,market_observable,124,2023-03-09,2023-03-10,2,2023-03-09,1393,2023-03-09,2023-03-09,0.16818052803769667,-0.09386945018604109,0.009801127700098,-0.10367057788613909
1,vix_change_top_10pct,market_observable,125,2023-03-15,2023-03-15,1,2023-03-15,1397,2023-03-15,2023-03-15,0.09672663774840373,-0.02745791739367931,0.007773838437142189,-0.0352317558308215
1,vix_change_top_10pct,market_observable,126,2023-03-17,2023-03-17,1,2023-03-17,1399,2023-03-17,2023-03-17,0.10401119337862985,0.07269968996094178,0.028704276731303935,0.04399541322963785
1,vix_change_top_10pct,market_observable,127,2023-04-25,2023-04-25,1,2023-04-25,1425,2023-04-25,2023-04-25,0.10500521275836983,0.008295760596530144,0.0050734265105614185,0.0032223340859687255
1,vix_change_top_10pct,market_observable,128,2023-05-02,2023-05-02,1,2023-05-02,1430,2023-05-02,2023-05-02,0.10049796633493857,0.029819572002265815,0.0191128216996459,0.010706750302619916
1,vix_change_top_10pct,market_observable,129,2023-05-04,2023-05-04,1,2023-05-04,1432,2023-05-04,2023-05-04,0.09113771199852438,0.020006162003832983,0.007008337579460289,0.012997824424372695
